,Title,Rating,Runtime,IMDB_Score,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,Primetime_x,Release Date,Budget,DomesticGross,WorldwideGross
132,Gallipoli,3.0,155.0,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5732587,,0,,0.0,1981-08-28,3000000,5732587,5732587
133,Carlos,2.0,110.0,7.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,145526,7.0,20006,2.0,0.0,2010-10-15,18000000,145526,157002
134,Saints and Soldiers,3.0,112.0,8.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1310470,37.0,129056,26.0,0.0,2004-08-06,780000,1310470,1310470
135,The Believer,3.0,102.0,7.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,416925,13.0,26263,4.0,1.0,2002-05-17,1500000,406035,1840248
136,It's All Gone Pete Tong,2.0,91.0,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120620,24.0,19717,1.0,0.0,2005-04-15,2000000,120620,2226603
137,Summer of Sam,3.0,98.0,6.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19288130,1536.0,5952452,1536.0,1.0,1999-07-02,22000000,19288130,19288130
138,American Outlaws,3.0,90.0,6.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13342790,2348.0,4855475,2348.0,0.0,2001-08-17,35000000,13264986,13264986
139,Casino Jack,4.0,109.0,7.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1042959,60.0,34528,7.0,1.0,2010-12-17,12500000,2039869,2272186
140,Love Ranch,4.0,180.0,5.8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,137885,11.0,44220,11.0,1.0,2010-06-30,25000000,137885,146149
141,Dreamer: Inspired by a True Story,3.0,111.0,7.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,32751093,2735.0,9178233,2007.0,0.0,2005-10-21,32000000,33022286,39498360
142,River's Edge,4.0,83.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4600000,3.0,67794,3.0,1.0,1987-05-08,1900000,4600000,4600000
143,The Children of Huang Shi,3.0,116.0,7.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1031872,43.0,42755,7.0,1.0,2008-05-23,20000000,1031872,8221700
144,At First Sight,3.0,125.0,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22365133,1838.0,8444321,1814.0,0.0,1999-01-15,40000000,22326247,22326247
145,In Too Deep,3.0,177.0,8.6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14011454,674.0,4220297,667.0,0.0,1999-08-25,7000000,14003141,15447861
146,Resurrecting the Champ,3.0,183.0,7.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3172573,1605.0,1667659,1605.0,0.0,2007-08-24,13000000,3172382,3260555
147,Redacted,4.0,109.0,6.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,65388,15.0,25628,15.0,1.0,2007-11-16,5000000,65388,861325
148,I Dreamed of Africa,3.0,101.0,6.8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6651522,2112.0,2411445,2112.0,1.0,2000-05-05,34000000,6543194,6543194
149,The Longshots,3.0,107.0,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11537046,2089.0,4080687,2089.0,0.0,2008-08-22,23000000,11511323,11778396
150,Invincible,2.0,84.0,4.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,57806952,2987.0,17031122,2917.0,0.0,2006-08-25,40000000,57806952,58501127
151,Owning Mahowny,3.0,104.0,6.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1011871,24.0,33287,9.0,1.0,2003-05-02,10000000,1011054,1011054
152,The Last Shot,3.0,111.0,7.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,464275,40.0,164801,35.0,0.0,2004-09-24,40000000,463730,463730
153,Tumbleweeds,3.0,94.0,6.6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1350248,307.0,80030,31.0,1.0,1999-11-24,312000,1277188,1715108
154,September Dawn,3.0,144.0,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1066555,857.0,601857,857.0,0.0,2007-08-24,10100000,1066555,1066555
155,Obsessed,3.0,103.0,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68261644,2634.0,28612730,2514.0,0.0,2009-04-24,20000000,68261644,73964713
